Numero Patrimonial;Codigo;Local
04020101003000283;S5-04;Hall de Asc. Montacarga
04020101003000285;S5-04;Hall de Asc. Montacarga
04020101003000286;S9-01;Pasillo de Circ. Técina
04020101003000287;S5-04;Hall de Asc. Montacarga
04020101003000288;S5-04;Hall de Asc. Montacarga
04020101003000289;S3-15;Crib. Inter. PQ
04020101003000290;S5-08;Sanit. Pers. Damas
04020101003000291;S5-08;Sanit. Pers. Damas
04020101003000292;S5-08;Sanit. Pers. Damas
04020101003000293;S5-09;Sanit. Pers. Caballeros
04020101003000294;S5-09;Sanit. Pers. Caballeros
04020101003000295;S5-09;Sanit. Pers. Caballeros
04020101003000296;S9-01;Pasillo de Circ. Técina
04020101003000297;S17-24;Of. Superv. Centro Obs.
04020101003000298;S5-04;Hall de Asc. Montacarga
04020101003000299;S9-01;Pasillo de Circ. Técina
04020101003000300;S9-02/2;Taller - Oficina - Dep
04020101003000301;S7-08;"Cons. N° 8 Oftal. ""A"""
04020101003000302;S27-07;Of. Superv. Centro Obs.
04020101003000303;S11-01;Estar Publico
04020101003000304;S8-07;Hall de Acceso Personal
04020101003000305;S9-01;Pasillo de Circ. Técina
04020101003000306;S9-02;Pasillo de Circ. Técina
04020101003000307;S9-03;Pasillo de Circ. Técina
04020101003000308;S9-04;Pasillo de Circ. Técina
04020101003000309;S8-07/02;Vest. Pers No Medico Damas
04020101003000310;S21-25;Servicio de Enfermeria 3°A
04020101003000311;S5-04 ;Hall de Asc. Montacarga
04020101003000312;S5-04;Hall de Asc. Montacarga
04020101003000313;S5-04;Hall de Asc. Montacarga
04020101003000314;S9-01;Pasillo de Circ. Técina
04020101003000315;S9-02;Pasillo de Circ. Técina
04020101003000316;S11-01;Estar Publico
04020101003000317;S21-25;Servicio de Enfermeria 3°A
04020101003000318;S8-07;Hall de Acceso Personal
04020101003000319;S10-03;Vest. -Sant. Pers. Damas
04020101003000320;S8-07;Hall de Acceso Personal
04020101003000321;S8-07/01;Vest. Pers No Medico Damas
04020101003000322;S8-07;Hall de Acceso Personal
04020101003000323;S8-07/01;Vest. Pers No Medico Damas
;;
;;
